,UserId,SnackId,Prediction
17,A1033RWNZWEMR5,B00014IVPQ,3.9480844
4,A1033RWNZWEMR5,B00004RAMY,3.7914414
8,A1033RWNZWEMR5,B000084E6V,3.6082773
11,A1033RWNZWEMR5,B00008CQVA,3.5550427
10,A1033RWNZWEMR5,B000084EZ4,3.5027046
19,A1033RWNZWEMR5,B0001ES9F8,3.483903
15,A1033RWNZWEMR5,B00012182G,3.4689627
13,A1033RWNZWEMR5,B0000DGG1U,3.3546972
3,A1033RWNZWEMR5,B00004CXX9,3.320167
14,A1033RWNZWEMR5,B0000V8IOE,3.2634637
12,A1033RWNZWEMR5,B00008JOL0,3.2457254
18,A1033RWNZWEMR5,B00014JYNO,3.1837218
29,A1033RWNZWEMR5,B00027CL5S,3.1605303
26,A1033RWNZWEMR5,B00020HHM2,3.1388617
22,A1033RWNZWEMR5,B00020HHE0,3.1276524
9,A1033RWNZWEMR5,B000084ETV,3.1144755
25,A1033RWNZWEMR5,B00020HHK4,3.1108015
16,A1033RWNZWEMR5,B00014DXCC,3.1094532
27,A1033RWNZWEMR5,B00020HHRW,3.0931373
21,A1033RWNZWEMR5,B00020HHAO,3.0748725
7,A1033RWNZWEMR5,B000084DWM,3.0743494
28,A1033RWNZWEMR5,B000255OIG,3.0325437
0,A1033RWNZWEMR5,7310172001,2.999871
23,A1033RWNZWEMR5,B00020HHGS,2.9885476
24,A1033RWNZWEMR5,B00020HHHC,2.9390817
1,A1033RWNZWEMR5,7310172101,2.8972871
20,A1033RWNZWEMR5,B0001ES9FI,2.8088758
5,A1033RWNZWEMR5,B00004RBDU,2.4166224
47,A1048CYU0OV4O8,B00014IVPQ,4.020188
34,A1048CYU0OV4O8,B00004RAMY,3.722612
38,A1048CYU0OV4O8,B000084E6V,3.5758798
41,A1048CYU0OV4O8,B00008CQVA,3.5619254
40,A1048CYU0OV4O8,B000084EZ4,3.5120726
45,A1048CYU0OV4O8,B00012182G,3.4631422
49,A1048CYU0OV4O8,B0001ES9F8,3.4216027
33,A1048CYU0OV4O8,B00004CXX9,3.364652
43,A1048CYU0OV4O8,B0000DGG1U,3.3320448
42,A1048CYU0OV4O8,B00008JOL0,3.2459614
44,A1048CYU0OV4O8,B0000V8IOE,3.2440612
48,A1048CYU0OV4O8,B00014JYNO,3.235561
59,A1048CYU0OV4O8,B00027CL5S,3.1759815
39,A1048CYU0OV4O8,B000084ETV,3.157064
56,A1048CYU0OV4O8,B00020HHM2,3.082726
52,A1048CYU0OV4O8,B00020HHE0,3.0711474
55,A1048CYU0OV4O8,B00020HHK4,3.0553482
46,A1048CYU0OV4O8,B00014DXCC,3.0529933
57,A1048CYU0OV4O8,B00020HHRW,3.0395505
51,A1048CYU0OV4O8,B00020HHAO,3.0200398
37,A1048CYU0OV4O8,B000084DWM,3.0058432
58,A1048CYU0OV4O8,B000255OIG,2.9808207
53,A1048CYU0OV4O8,B00020HHGS,2.9683459
30,A1048CYU0OV4O8,7310172001,2.9471672
54,A1048CYU0OV4O8,B00020HHHC,2.9253962
50,A1048CYU0OV4O8,B0001ES9FI,2.922939
31,A1048CYU0OV4O8,7310172101,2.8885589
35,A1048CYU0OV4O8,B00004RBDU,2.5430768
78,A10G136JEISLVR,B00014IVPQ,3.6903594
64,A10G136JEISLVR,B00004RAMY,3.621843
79,A10G136JEISLVR,B00014JYNO,3.5341506
68,A10G136JEISLVR,B000084E6V,3.526952
73,A10G136JEISLVR,B0000DGG1U,3.4597747
72,A10G136JEISLVR,B00008JOL0,3.4573157
80,A10G136JEISLVR,B0001ES9F8,3.4517798
93,A10G136JEISLVR,B00027CL5S,3.3131747
81,A10G136JEISLVR,B0001ES9FI,3.302922
74,A10G136JEISLVR,B0000V8IOE,3.2489839
69,A10G136JEISLVR,B000084ETV,3.2351894
65,A10G136JEISLVR,B00004RBDU,3.2077491
66,A10G136JEISLVR,B00004RYGX,3.1965995
62,A10G136JEISLVR,B00004CI84,3.1632864
75,A10G136JEISLVR,B00012182G,3.144834
67,A10G136JEISLVR,B000084DWM,3.138193
71,A10G136JEISLVR,B00008CQVA,2.9614482
70,A10G136JEISLVR,B000084EZ4,2.9222503
63,A10G136JEISLVR,B00004CXX9,2.9128075
92,A10G136JEISLVR,B000255OIG,2.8711152
60,A10G136JEISLVR,7310172001,2.8136508
61,A10G136JEISLVR,7310172101,2.7653089
114,A10L8O1ZMUIMR2,B0001ES9FI,3.5191205
123,A10L8O1ZMUIMR2,B00027CL5S,3.4077797
99,A10L8O1ZMUIMR2,B00004RBDU,3.4026396
113,A10L8O1ZMUIMR2,B0001ES9F8,3.340794
112,A10L8O1ZMUIMR2,B00014JYNO,3.3225834
106,A10L8O1ZMUIMR2,B00008JOL0,3.2937727
122,A10L8O1ZMUIMR2,B000255OIG,3.2774339
94,A10L8O1ZMUIMR2,7310172001,3.2563796
108,A10L8O1ZMUIMR2,B0000V8IOE,3.2080386
101,A10L8O1ZMUIMR2,B000084DWM,3.0572584
102,A10L8O1ZMUIMR2,B000084E6V,3.0524824
107,A10L8O1ZMUIMR2,B0000DGG1U,3.0256298
103,A10L8O1ZMUIMR2,B000084ETV,2.9851398
110,A10L8O1ZMUIMR2,B00014DXCC,2.9183877
95,A10L8O1ZMUIMR2,7310172101,2.9125087
120,A10L8O1ZMUIMR2,B00020HHM2,2.90665
116,A10L8O1ZMUIMR2,B00020HHE0,2.9063196
119,A10L8O1ZMUIMR2,B00020HHK4,2.9018016
111,A10L8O1ZMUIMR2,B00014IVPQ,2.8998196
98,A10L8O1ZMUIMR2,B00004RAMY,2.8930037
121,A10L8O1ZMUIMR2,B00020HHRW,2.8838675
115,A10L8O1ZMUIMR2,B00020HHAO,2.8722425
109,A10L8O1ZMUIMR2,B00012182G,2.8425398
105,A10L8O1ZMUIMR2,B00008CQVA,2.8351235
118,A10L8O1ZMUIMR2,B00020HHHC,2.8305073
117,A10L8O1ZMUIMR2,B00020HHGS,2.8289523
104,A10L8O1ZMUIMR2,B000084EZ4,2.8130589
97,A10L8O1ZMUIMR2,B00004CXX9,2.6966963
124,A10PJEHY3JKKQG,7310172001,3.7158144
152,A10PJEHY3JKKQG,B000255OIG,3.7035525
129,A10PJEHY3JKKQG,B00004RBDU,3.4929714
143,A10PJEHY3JKKQG,B0001ES9F8,3.3689182
153,A10PJEHY3JKKQG,B00027CL5S,3.32985
144,A10PJEHY3JKKQG,B0001ES9FI,3.307352
135,A10PJEHY3JKKQG,B00008CQVA,3.2853966
138,A10PJEHY3JKKQG,B0000V8IOE,3.283544
134,A10PJEHY3JKKQG,B000084EZ4,3.2789345
131,A10PJEHY3JKKQG,B000084DWM,3.2094104
125,A10PJEHY3JKKQG,7310172101,3.1610978
126,A10PJEHY3JKKQG,B00004CI84,3.1245499
139,A10PJEHY3JKKQG,B00012182G,3.1136959
130,A10PJEHY3JKKQG,B00004RYGX,3.0799453
136,A10PJEHY3JKKQG,B00008JOL0,3.0715866
127,A10PJEHY3JKKQG,B00004CXX9,3.013538
142,A10PJEHY3JKKQG,B00014JYNO,2.8946795
137,A10PJEHY3JKKQG,B0000DGG1U,2.8216047
133,A10PJEHY3JKKQG,B000084ETV,2.482339
141,A10PJEHY3JKKQG,B00014IVPQ,2.4775045
132,A10PJEHY3JKKQG,B000084E6V,2.4318004
128,A10PJEHY3JKKQG,B00004RAMY,2.2412257
148,A10PJEHY3JKKQG,B00020HHHC,2.064192
147,A10PJEHY3JKKQG,B00020HHGS,1.968983
158,A1189A19X4J6CP,B00004RAMY,4.2263126
162,A1189A19X4J6CP,B000084E6V,4.0775084
171,A1189A19X4J6CP,B00014IVPQ,4.006067
177,A1189A19X4J6CP,B00020HHGS,3.9579036
178,A1189A19X4J6CP,B00020HHHC,3.824424
163,A1189A19X4J6CP,B000084ETV,3.7534878
167,A1189A19X4J6CP,B0000DGG1U,3.7157845
172,A1189A19X4J6CP,B00014JYNO,3.6689167
166,A1189A19X4J6CP,B00008JOL0,3.3864608
160,A1189A19X4J6CP,B00004RYGX,3.3221743
174,A1189A19X4J6CP,B0001ES9FI,3.2490883
156,A1189A19X4J6CP,B00004CI84,3.2292187
168,A1189A19X4J6CP,B0000V8IOE,3.04552
165,A1189A19X4J6CP,B00008CQVA,3.0173125
173,A1189A19X4J6CP,B0001ES9F8,3.0033927
183,A1189A19X4J6CP,B00027CL5S,2.9836242
164,A1189A19X4J6CP,B000084EZ4,2.96097
161,A1189A19X4J6CP,B000084DWM,2.9122517
169,A1189A19X4J6CP,B00012182G,2.8516111
157,A1189A19X4J6CP,B00004CXX9,2.7402225
159,A1189A19X4J6CP,B00004RBDU,2.6091297
155,A1189A19X4J6CP,7310172101,2.6020644
182,A1189A19X4J6CP,B000255OIG,2.541472
154,A1189A19X4J6CP,7310172001,2.4673612
203,A11Q5CEJES1CCM,B0001ES9F8,4.0143886
198,A11Q5CEJES1CCM,B0000V8IOE,4.004835
185,A11Q5CEJES1CCM,7310172101,3.9618897
191,A11Q5CEJES1CCM,B000084DWM,3.8468547
192,A11Q5CEJES1CCM,B000084E6V,3.7339294
188,A11Q5CEJES1CCM,B00004RAMY,3.6560318
189,A11Q5CEJES1CCM,B00004RBDU,3.623104
213,A11Q5CEJES1CCM,B00027CL5S,3.464214
193,A11Q5CEJES1CCM,B000084ETV,3.4536858
197,A11Q5CEJES1CCM,B0000DGG1U,3.3672779
204,A11Q5CEJES1CCM,B0001ES9FI,3.3369467
202,A11Q5CEJES1CCM,B00014JYNO,3.2111485
187,A11Q5CEJES1CCM,B00004CXX9,3.1696594
195,A11Q5CEJES1CCM,B00008CQVA,3.167225
194,A11Q5CEJES1CCM,B000084EZ4,3.1665063
186,A11Q5CEJES1CCM,B00004CI84,3.089635
190,A11Q5CEJES1CCM,B00004RYGX,3.0766294
196,A11Q5CEJES1CCM,B00008JOL0,2.8449743
208,A11Q5CEJES1CCM,B00020HHHC,2.7595594
207,A11Q5CEJES1CCM,B00020HHGS,2.7456515
201,A11Q5CEJES1CCM,B00014IVPQ,2.6972158
200,A11Q5CEJES1CCM,B00014DXCC,2.6115215
210,A11Q5CEJES1CCM,B00020HHM2,2.5976696
206,A11Q5CEJES1CCM,B00020HHE0,2.5969589
209,A11Q5CEJES1CCM,B00020HHK4,2.5707443
205,A11Q5CEJES1CCM,B00020HHAO,2.5622764
211,A11Q5CEJES1CCM,B00020HHRW,2.5613275
199,A11Q5CEJES1CCM,B00012182G,2.5545695
231,A11QN7NDE3AROH,B00014IVPQ,4.0851965
222,A11QN7NDE3AROH,B000084E6V,3.8209302
243,A11QN7NDE3AROH,B00027CL5S,3.5495887
218,A11QN7NDE3AROH,B00004RAMY,3.5314567
233,A11QN7NDE3AROH,B0001ES9F8,3.5047202
225,A11QN7NDE3AROH,B00008CQVA,3.372886
217,A11QN7NDE3AROH,B00004CXX9,3.3586411
228,A11QN7NDE3AROH,B0000V8IOE,3.3584747
229,A11QN7NDE3AROH,B00012182G,3.3270264
224,A11QN7NDE3AROH,B000084EZ4,3.3264844
226,A11QN7NDE3AROH,B00008JOL0,3.2305958
234,A11QN7NDE3AROH,B0001ES9FI,3.1772277
232,A11QN7NDE3AROH,B00014JYNO,3.1670318
227,A11QN7NDE3AROH,B0000DGG1U,3.1496882
240,A11QN7NDE3AROH,B00020HHM2,3.1222498
236,A11QN7NDE3AROH,B00020HHE0,3.1082487
242,A11QN7NDE3AROH,B000255OIG,3.091137
239,A11QN7NDE3AROH,B00020HHK4,3.0890949
230,A11QN7NDE3AROH,B00014DXCC,3.0889452
241,A11QN7NDE3AROH,B00020HHRW,3.0738254
214,A11QN7NDE3AROH,7310172001,3.0564451
235,A11QN7NDE3AROH,B00020HHAO,3.0505147
221,A11QN7NDE3AROH,B000084DWM,3.0174377
237,A11QN7NDE3AROH,B00020HHGS,2.9796798
238,A11QN7NDE3AROH,B00020HHHC,2.9387033
215,A11QN7NDE3AROH,7310172101,2.9015718
223,A11QN7NDE3AROH,B000084ETV,2.8855565
219,A11QN7NDE3AROH,B00004RBDU,2.2026572
263,A129LFK27JMYB3,B0001ES9F8,4.0460057
258,A129LFK27JMYB3,B0000V8IOE,3.9158344
245,A129LFK27JMYB3,7310172101,3.8284822
248,A129LFK27JMYB3,B00004RAMY,3.8090692
252,A129LFK27JMYB3,B000084E6V,3.717286
251,A129LFK27JMYB3,B000084DWM,3.6703734
249,A129LFK27JMYB3,B00004RBDU,3.5606978
253,A129LFK27JMYB3,B000084ETV,3.5497594
273,A129LFK27JMYB3,B00027CL5S,3.4320202
